NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1285,대구광역시 수성구 매호동,1324,1324,0,두레타운,39.9,202302,25,"12,000",112,10,-,-,1995,천을로 131,-,중개거래,대구 수성구,23.04.20
1286,대구광역시 수성구 지산동,1269-1,1269,1,서한청산맨션,84.9,202302,24,"24,000",106,15,-,-,1991,지범로21길 15,-,중개거래,대구 수성구,23.06.30
1287,대구광역시 수성구 신매동,263,263,0,태왕하이츠1,71.0184,202302,24,"29,900",103,13,-,-,2000,달구벌대로647길 16,-,중개거래,대구 수성구,23.05.04
1288,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,118.906,202302,24,"71,500",112,13,-,-,2009,수성로 71,-,중개거래,대구 수성구,23.05.30
1289,대구광역시 수성구 범어동,2272,2272,0,범어에일린의뜰,84.9603,202302,24,"80,000",101동,20,-,-,2021,청솔로14길 15,-,중개거래,대구 수성구,23.05.26
1290,대구광역시 수성구 범어동,2257,2257,0,범어센트럴푸르지오,84.955,202302,24,"89,000",105동,40,-,-,2019,상록로 15,-,중개거래,대구 수성구,23.04.28
1291,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,84.9967,202302,24,"54,500",105,13,-,-,2009,수성로 71,-,중개거래,대구 수성구 대구 중구,23.03.15
1292,대구광역시 수성구 범어동,177-3,177,3,마크팰리스범어,26.8033,202302,23,"10,800",주건축물제1동,14,-,-,2017,동대구로 336,-,중개거래,대구 수성구,23.02.27
1293,대구광역시 수성구 범어동,2264,2264,0,힐스테이트범어,84.9218,202302,23,"118,000",104,17,-,-,2020,범어로18길 22,-,중개거래,대구 수성구,23.04.25
1294,대구광역시 수성구 범어동,2238,2238,0,범어 화산샬레,59.7377,202302,23,"55,000",102,14,-,-,2014,청호로 411-3,-,중개거래,대구 수성구,23.07.31
1295,대구광역시 수성구 수성동3가,289,289,0,수성코오롱하늘채,127.0598,202302,23,"119,800",103,27,-,-,2009,들안로 300,-,중개거래,대구 수성구,23.04.18
1296,대구광역시 수성구 두산동,999,999,0,수성레이크푸르지오,84.9717,202302,23,"60,000",102동,9,-,-,2022,청수로24길 91,-,중개거래,경북 경산시,23.03.13
1297,대구광역시 수성구 범어동,2252,2252,0,범어라온프라이빗2차,84.9728,202302,23,"92,000",102,14,-,-,2018,청호로 438,-,중개거래,대구 수성구,23.03.22
1298,대구광역시 수성구 매호동,1040,1040,0,매호동서타운,59.9,202302,23,"23,600",101,6,-,-,1995,천을로 180,-,중개거래,대구 수성구,23.03.31
1299,대구광역시 수성구 신매동,263,263,0,태왕하이츠1,59.9844,202302,22,"26,400",104,15,-,-,2000,달구벌대로647길 16,-,직거래,-,23.03.30
1300,대구광역시 수성구 수성동4가,1090-7,1090,7,우방사랑마을,134.76,202302,22,"58,000",101,2,-,-,1996,달구벌대로 2317,-,직거래,-,23.03.15
1301,대구광역시 수성구 욱수동,246,246,0,보국시지웰리치,120.86,202302,22,"65,000",102,8,-,-,2008,욱수천로 55,-,중개거래,대구 수성구,23.03.22
1302,대구광역시 수성구 사월동,645,645,0,시지한신휴플러스,134.2789,202302,22,"58,000",103,6,-,-,2013,달구벌대로669길 50,-,중개거래,대구 수성구,23.05.04
1303,대구광역시 수성구 시지동,591,591,0,수성알파시티동화아이위시,59.9431,202302,22,"47,000",102동,15,-,-,2019,알파시티2로 48,-,중개거래,대구 수성구,23.04.05
1304,대구광역시 수성구 범물동,1261,1261,0,범물하이츠,41.85,202302,22,"12,500",104,4,-,-,1992,용학로 336,-,중개거래,대구 수성구,23.05.09
